School.List,State,Year,ST.Total.Men,ST.Total.Women,ST.Total.AGI,ST.Total,percent_men,percent_women,percent_agi,men_change,women_change,agi_change
CALIFORNIA WESTERN SCHOOL OF LAW,CALIFORNIA,2021,80,122,0,202,39.6039604,60.3960396,0,0.894282977,-0.894282977,0
CALIFORNIA WESTERN SCHOOL OF LAW,CALIFORNIA,2022,81,122,1,204,39.70588235,59.80392157,0.490196078,0.101921957,-0.592118035,0.490196078
CALIFORNIA WESTERN SCHOOL OF LAW,CALIFORNIA,2023,77,119,2,198,38.88888889,60.1010101,1.01010101,-0.816993464,0.297088532,0.519904932
"CALIFORNIA-BERKELEY, UNIVERSITY OF",CALIFORNIA,2017,104,186,0,290,35.86206897,64.13793103,0,NA,NA,NA
"CALIFORNIA-BERKELEY, UNIVERSITY OF",CALIFORNIA,2018,116,171,0,287,40.41811847,59.58188153,0,4.556049501,-4.556049501,0
"CALIFORNIA-BERKELEY, UNIVERSITY OF",CALIFORNIA,2019,121,187,2,310,39.03225806,60.32258065,0.64516129,-1.385860402,0.740699112,0.64516129
"CALIFORNIA-BERKELEY, UNIVERSITY OF",CALIFORNIA,2020,116,208,1,325,35.69230769,64,0.307692308,-3.339950372,3.677419355,-0.337468983
"CALIFORNIA-BERKELEY, UNIVERSITY OF",CALIFORNIA,2021,131,214,9,354,37.00564972,60.4519774,2.542372881,1.313342025,-3.548022599,2.234680574
"CALIFORNIA-BERKELEY, UNIVERSITY OF",CALIFORNIA,2022,90,156,6,252,35.71428571,61.9047619,2.380952381,-1.291364003,1.452784504,-0.1614205
"CALIFORNIA-BERKELEY, UNIVERSITY OF",CALIFORNIA,2023,101,191,11,304,33.22368421,62.82894737,3.618421053,-2.490601504,0.924185464,1.237468672
"CALIFORNIA-DAVIS, UNIVERSITY OF",CALIFORNIA,2017,57,79,0,136,41.91176471,58.08823529,0,NA,NA,NA
"CALIFORNIA-DAVIS, UNIVERSITY OF",CALIFORNIA,2018,82,115,0,197,41.62436548,58.37563452,0,-0.287399224,0.287399224,0
"CALIFORNIA-DAVIS, UNIVERSITY OF",CALIFORNIA,2019,92,126,0,218,42.20183486,57.79816514,0,0.57746938,-0.57746938,0
"CALIFORNIA-DAVIS, UNIVERSITY OF",CALIFORNIA,2020,52,130,1,183,28.41530055,71.03825137,0.546448087,-13.78653432,13.24008623,0.546448087
"CALIFORNIA-DAVIS, UNIVERSITY OF",CALIFORNIA,2021,104,143,0,247,42.10526316,57.89473684,0,13.68996261,-13.14351452,-0.546448087
"CALIFORNIA-DAVIS, UNIVERSITY OF",CALIFORNIA,2022,78,107,3,188,41.4893617,56.91489362,1.595744681,-0.615901456,-0.979843225,1.595744681
"CALIFORNIA-DAVIS, UNIVERSITY OF",CALIFORNIA,2023,68,119,5,193,35.23316062,61.65803109,2.590673575,-6.25620108,4.743137471,0.994928894
"CALIFORNIA-IRVINE, UNIVERSITY OF",CALIFORNIA,2017,52,86,0,138,37.68115942,62.31884058,0,NA,NA,NA
"CALIFORNIA-IRVINE, UNIVERSITY OF",CALIFORNIA,2018,98,107,0,205,47.80487805,52.19512195,0,10.12371863,-10.12371863,0
"CALIFORNIA-IRVINE, UNIVERSITY OF",CALIFORNIA,2019,60,77,2,139,43.16546763,55.39568345,1.438848921,-4.639410423,3.200561502,1.438848921
"CALIFORNIA-IRVINE, UNIVERSITY OF",CALIFORNIA,2020,50,86,2,138,36.23188406,62.31884058,1.449275362,-6.933583568,6.923157126,0.010426441
"CALIFORNIA-IRVINE, UNIVERSITY OF",CALIFORNIA,2021,71,81,2,154,46.1038961,52.5974026,1.298701299,9.872012046,-9.721437982,-0.150574064
"CALIFORNIA-IRVINE, UNIVERSITY OF",CALIFORNIA,2022,67,83,1,154,43.50649351,53.8961039,0.649350649,-2.597402597,1.298701299,-0.649350649
"CALIFORNIA-IRVINE, UNIVERSITY OF",CALIFORNIA,2023,65,67,4,140,46.42857143,47.85714286,2.857142857,2.922077922,-6.038961039,2.207792208
"CALIFORNIA-LOS ANGELES, UNIVERSITY OF",CALIFORNIA,2017,127,133,0,260,48.84615385,51.15384615,0,NA,NA,NA
"CALIFORNIA-LOS ANGELES, UNIVERSITY OF",CALIFORNIA,2018,135,148,0,283,47.70318021,52.29681979,0,-1.142973634,1.142973634,0
"CALIFORNIA-LOS ANGELES, UNIVERSITY OF",CALIFORNIA,2019,110,162,2,274,40.1459854,59.12408759,0.729927007,-7.557194811,6.827267803,0.729927007
"CALIFORNIA-LOS ANGELES, UNIVERSITY OF",CALIFORNIA,2020,135,160,2,297,45.45454545,53.87205387,0.673400673,5.308560053,-5.252033719,-0.056526334
"CALIFORNIA-LOS ANGELES, UNIVERSITY OF",CALIFORNIA,2021,148,197,2,347,42.65129683,56.77233429,0.576368876,-2.803248625,2.900280422,-0.097031797
"CALIFORNIA-LOS ANGELES, UNIVERSITY OF",CALIFORNIA,2022,118,167,3,288,40.97222222,57.98611111,1.041666667,-1.679074608,1.213776817,0.465297791
"CALIFORNIA-LOS ANGELES, UNIVERSITY OF",CALIFORNIA,2023,109,189,2,300,36.33333333,63,0.666666667,-4.638888889,5.013888889,-0.375
CAMPBELL UNIVERSITY,NORTH CAROLINA,2017,79,85,0,164,48.17073171,51.82926829,0,NA,NA,NA
CAMPBELL UNIVERSITY,NORTH CAROLINA,2018,75,95,18,188,39.89361702,50.53191489,9.574468085,-8.277114686,-1.297353399,9.574468085
CAMPBELL UNIVERSITY,NORTH CAROLINA,2019,58,120,0,178,32.58426966,67.41573034,0,-7.309347358,16.88381544,-9.574468085
CAMPBELL UNIVERSITY,NORTH CAROLINA,2020,80,98,0,178,44.94382022,55.05617978,0,12.35955056,-12.35955056,0
CAMPBELL UNIVERSITY,NORTH CAROLINA,2021,84,132,0,216,38.88888889,61.11111111,0,-6.054931336,6.054931336,0
CAMPBELL UNIVERSITY,NORTH CAROLINA,2022,90,130,0,220,40.90909091,59.09090909,0,2.02020202,-2.02020202,0
CAMPBELL UNIVERSITY,NORTH CAROLINA,2023,79,105,0,184,42.93478261,57.06521739,0,2.0256917,-2.0256917,0
CAPITAL UNIVERSITY,OHIO,2017,78,82,0,160,48.75,51.25,0,NA,NA,NA
CAPITAL UNIVERSITY,OHIO,2018,75,81,0,156,48.07692308,51.92307692,0,-0.673076923,0.673076923,0
CAPITAL UNIVERSITY,OHIO,2019,85,84,0,169,50.29585799,49.70414201,0,2.218934911,-2.218934911,0
CAPITAL UNIVERSITY,OHIO,2020,88,83,0,171,51.4619883,48.5380117,0,1.166130316,-1.166130316,0
CAPITAL UNIVERSITY,OHIO,2021,75,111,0,186,40.32258065,59.67741935,0,-11.13940766,11.13940766,0
CAPITAL UNIVERSITY,OHIO,2022,80,77,0,157,50.95541401,49.04458599,0,10.63283337,-10.63283337,0
CAPITAL UNIVERSITY,OHIO,2023,69,84,0,153,45.09803922,54.90196078,0,-5.857374797,5.857374797,0
CARDOZO SCHOOL OF LAW,NEW YORK,2017,136,168,0,304,44.73684211,55.26315789,0,NA,NA,NA
CARDOZO SCHOOL OF LAW,NEW YORK,2018,124,156,0,280,44.28571429,55.71428571,0,-0.45112782,0.45112782,0
