School.List,State,Year,FT.BIPOC,FT.White,FT.Total,fac_percent_bipoc,fac_percent_white,fac_year_change
WESTERN NEW ENGLAND UNIVERSITY,MASSACHUSETTS,2023,15,80,95,15.78947368,84.21052632,2.746
WESTERN STATE COLLEGE OF LAW,CALIFORNIA,2017,15,37,52,28.84615385,71.15384615,NA
WESTERN STATE COLLEGE OF LAW,CALIFORNIA,2018,16,47,63,25.3968254,74.6031746,-3.4493
WESTERN STATE COLLEGE OF LAW,CALIFORNIA,2019,18,39,57,31.57894737,68.42105263,6.1821
WESTERN STATE COLLEGE OF LAW,CALIFORNIA,2020,12,34,46,26.08695652,73.91304348,-5.492
WESTERN STATE COLLEGE OF LAW,CALIFORNIA,2021,11,36,47,23.40425532,76.59574468,-2.6827
WESTERN STATE COLLEGE OF LAW,CALIFORNIA,2022,14,31,45,31.11111111,68.88888889,7.7069
WESTERN STATE COLLEGE OF LAW,CALIFORNIA,2023,13,40,53,24.52830189,75.47169811,-6.5828
WIDENER UNIVERSITY-DELAWARE,DELAWARE,2017,7,63,70,10,90,NA
WIDENER UNIVERSITY-DELAWARE,DELAWARE,2018,6,68,74,8.108108108,91.89189189,-1.8919
WIDENER UNIVERSITY-DELAWARE,DELAWARE,2019,9,71,80,11.25,88.75,3.1419
WIDENER UNIVERSITY-DELAWARE,DELAWARE,2020,6,77,83,7.228915663,92.77108434,-4.0211
WIDENER UNIVERSITY-DELAWARE,DELAWARE,2021,9,71,80,11.25,88.75,4.0211
WIDENER UNIVERSITY-DELAWARE,DELAWARE,2022,7,77,84,8.333333333,91.66666667,-2.9167
WIDENER UNIVERSITY-DELAWARE,DELAWARE,2023,10,79,89,11.23595506,88.76404494,2.9026
WIDENER-COMMONWEALTH,PENNSYLVANIA,2017,3,45,48,6.25,93.75,NA
WIDENER-COMMONWEALTH,PENNSYLVANIA,2018,2,51,53,3.773584906,96.22641509,-2.4764
WIDENER-COMMONWEALTH,PENNSYLVANIA,2019,3,55,58,5.172413793,94.82758621,1.3988
WIDENER-COMMONWEALTH,PENNSYLVANIA,2020,2,63,65,3.076923077,96.92307692,-2.0955
WIDENER-COMMONWEALTH,PENNSYLVANIA,2021,4,58,62,6.451612903,93.5483871,3.3747
WIDENER-COMMONWEALTH,PENNSYLVANIA,2022,4,57,61,6.557377049,93.44262295,0.1058
WIDENER-COMMONWEALTH,PENNSYLVANIA,2023,4,63,67,5.970149254,94.02985075,-0.5872
WILLAMETTE UNIVERSITY,OREGON,2017,5,52,57,8.771929825,91.22807018,NA
WILLAMETTE UNIVERSITY,OREGON,2018,5,50,55,9.090909091,90.90909091,0.319
WILLAMETTE UNIVERSITY,OREGON,2019,6,44,50,12,88,2.9091
WILLAMETTE UNIVERSITY,OREGON,2020,7,47,54,12.96296296,87.03703704,0.963
WILLAMETTE UNIVERSITY,OREGON,2021,7,47,54,12.96296296,87.03703704,0
WILLAMETTE UNIVERSITY,OREGON,2022,9,46,55,16.36363636,83.63636364,3.4007
WILLAMETTE UNIVERSITY,OREGON,2023,7,48,55,12.72727273,87.27272727,-3.6364
WILLIAM AND MARY LAW SCHOOL,VIRGINIA,2017,13,155,168,7.738095238,92.26190476,NA
WILLIAM AND MARY LAW SCHOOL,VIRGINIA,2018,13,159,172,7.558139535,92.44186047,-0.18
WILLIAM AND MARY LAW SCHOOL,VIRGINIA,2019,13,143,156,8.333333333,91.66666667,0.7752
WILLIAM AND MARY LAW SCHOOL,VIRGINIA,2020,19,142,161,11.80124224,88.19875776,3.4679
WILLIAM AND MARY LAW SCHOOL,VIRGINIA,2021,15,141,156,9.615384615,90.38461538,-2.1859
