School.List,State,Year,FT.Male,FT.Female,FT.AGI,FT.Total,fac_percent_men,fac_percent_women,fac_percent_agi,fac_men_change,fac_women_change,fac_agi_change
"SAN DIEGO, UNIVERSITY OF",CALIFORNIA,2019,108,56,0,164,65.85365854,34.14634146,0,-4.49116905,4.49116905,0
"SAN DIEGO, UNIVERSITY OF",CALIFORNIA,2020,105,55,0,160,65.625,34.375,0,-0.228658537,0.228658537,0
"SAN DIEGO, UNIVERSITY OF",CALIFORNIA,2021,103,61,0,164,62.80487805,37.19512195,0,-2.820121951,2.820121951,0
"SAN DIEGO, UNIVERSITY OF",CALIFORNIA,2022,89,59,0,148,60.13513514,39.86486486,0,-2.669742914,2.669742914,0
"SAN DIEGO, UNIVERSITY OF",CALIFORNIA,2023,89,62,0,151,58.94039735,41.05960265,0,-1.194737784,1.194737784,0
"SAN FRANCISCO, UNIVERSITY OF",CALIFORNIA,2017,60,44,0,104,57.69230769,42.30769231,0,NA,NA,NA
"SAN FRANCISCO, UNIVERSITY OF",CALIFORNIA,2018,62,50,0,112,55.35714286,44.64285714,0,-2.335164835,2.335164835,0
"SAN FRANCISCO, UNIVERSITY OF",CALIFORNIA,2019,47,44,0,91,51.64835165,48.35164835,0,-3.708791209,3.708791209,0
"SAN FRANCISCO, UNIVERSITY OF",CALIFORNIA,2020,38,38,0,76,50,50,0,-1.648351648,1.648351648,0
"SAN FRANCISCO, UNIVERSITY OF",CALIFORNIA,2021,32,35,0,67,47.76119403,52.23880597,0,-2.23880597,2.23880597,0
"SAN FRANCISCO, UNIVERSITY OF",CALIFORNIA,2022,37,38,0,75,49.33333333,50.66666667,0,1.572139303,-1.572139303,0
"SAN FRANCISCO, UNIVERSITY OF",CALIFORNIA,2023,35,39,0,75,46.66666667,52,0,-2.666666667,1.333333333,0
SANTA CLARA UNIVERSITY,CALIFORNIA,2017,85,69,14,168,50.5952381,41.07142857,8.333333333,NA,NA,NA
SANTA CLARA UNIVERSITY,CALIFORNIA,2018,92,76,10,178,51.68539326,42.69662921,5.617977528,1.090155163,1.625200642,-2.715355805
SANTA CLARA UNIVERSITY,CALIFORNIA,2019,87,88,12,187,46.52406417,47.05882353,6.417112299,-5.161329087,4.362194316,0.799134771
SANTA CLARA UNIVERSITY,CALIFORNIA,2020,76,71,0,147,51.70068027,48.29931973,0,5.176616101,1.240496198,-6.417112299
SANTA CLARA UNIVERSITY,CALIFORNIA,2021,74,69,0,143,51.74825175,48.25174825,0,0.047571476,-0.047571476,0
SANTA CLARA UNIVERSITY,CALIFORNIA,2022,66,72,2,141,46.80851064,51.06382979,1.418439716,-4.93974111,2.812081535,1.418439716
SANTA CLARA UNIVERSITY,CALIFORNIA,2023,67,84,0,152,44.07894737,55.26315789,0,-2.72956327,4.199328108,-1.418439716
SEATTLE UNIVERSITY,WASHINGTON,2017,116,97,0,213,54.4600939,45.5399061,0,NA,NA,NA
SEATTLE UNIVERSITY,WASHINGTON,2018,93,73,0,166,56.02409639,43.97590361,0,1.564002489,-1.564002489,0
SEATTLE UNIVERSITY,WASHINGTON,2019,94,73,0,167,56.28742515,43.71257485,0,0.263328764,-0.263328764,0
SEATTLE UNIVERSITY,WASHINGTON,2020,76,79,0,155,49.03225806,50.96774194,0,-7.255167085,7.255167085,0
SEATTLE UNIVERSITY,WASHINGTON,2021,61,61,0,122,50,50,0,0.967741935,-0.967741935,0
SEATTLE UNIVERSITY,WASHINGTON,2022,83,74,0,157,52.86624204,47.13375796,0,2.866242038,-2.866242038,0
