School.List,KLD.BIPOC,KLD.Gender,State
"TOLEDO, UNIVERSITY OF",0.032240932,0.041762386,OHIO
TOURO UNIVERSITY,0.054891862,0.012639215,NEW YORK
TULANE UNIVERSITY,0.040975961,0.119008746,LOUISIANA
"TULSA, UNIVERSITY OF",0.152226144,0.006474481,OKLAHOMA
UNIVERSITY OF BUFFALO-SUNY,0.011853168,0.030611921,NEW YORK
"UNIVERSITY OF CALIFORNIA COLLEGE OF THE LAW, SAN FRANCISCO",0.008154913,0.058927183,CALIFORNIA
UNIVERSITY OF ILLINOIS CHICAGO SCHOOL OF LAW,0.059278432,0.064824946,ILLINOIS
UNIVERSITY OF MASSACHUSETTS DARTMOUTH,0.102156475,0.080540422,MASSACHUSETTS
UNIVERSITY OF NEVADA - LAS VEGAS,0.005146556,0.010867014,NEVADA
"UTAH, UNIVERSITY OF",0.057118886,0.01578933,UTAH
VANDERBILT UNIVERSITY,0.02514552,0.05774204,TENNESSEE
VERMONT LAW SCHOOL,0.138107911,0.022948144,VERMONT
VILLANOVA UNIVERSITY,0.048682444,0.031604701,PENNSYLVANIA
"VIRGINIA, UNIVERSITY OF",0.003930024,0.065690301,VIRGINIA
WAKE FOREST UNIVERSITY,0.035717871,0.039463415,NORTH CAROLINA
WASHBURN UNIVERSITY,0.031571753,0.008251326,KANSAS
WASHINGTON AND LEE UNIVERSITY,0.009955135,0.07409306,VIRGINIA
WASHINGTON UNIVERSITY,0.028472648,0.026153178,MISSOURI
"WASHINGTON, UNIVERSITY OF",0.005888354,0.086948054,WASHINGTON
WAYNE STATE UNIVERSITY,0.064679361,0.028510085,MICHIGAN
WEST VIRGINIA UNIVERSITY,0.017450489,0.009213444,WEST VIRGINIA
WESTERN NEW ENGLAND UNIVERSITY,0.069514138,0.032095164,MASSACHUSETTS
WESTERN STATE COLLEGE OF LAW,0.006200507,0.023478332,CALIFORNIA
WIDENER UNIVERSITY-DELAWARE,0.018525217,0.007918028,DELAWARE
WIDENER-COMMONWEALTH,0.026001656,0.078792253,PENNSYLVANIA
WILLAMETTE UNIVERSITY,0.035286849,0.026962869,OREGON
WILLIAM AND MARY LAW SCHOOL,0.021837003,0.098258114,VIRGINIA
"WISCONSIN, UNIVERSITY OF",0.005729542,0.004844768,WISCONSIN
"WYOMING, UNIVERSITY OF",0.055914686,0.013758708,WYOMING
YALE UNIVERSITY,0.002880862,0.059363372,CONNECTICUT
